type, setup, encryption, homomorphic, decryption, plaintext, total, value
sum-squares-slot, 304, 12, 166, 1, 0, 483, 0.666626
sum-squares-slot, 306, 12, 161, 1, 0, 480, 0.666626
sum-squares-slot, 294, 12, 160, 1, 0, 467, 0.666626
sum-squares-slot, 299, 12, 162, 1, 0, 474, 0.666626
sum-squares-slot, 300, 12, 157, 1, 0, 470, 0.666626
sum-squares-slot, 292, 12, 161, 1, 0, 466, 0.666626
sum-squares-slot, 294, 12, 168, 1, 0, 475, 0.666626
sum-squares-slot, 294, 12, 162, 1, 0, 469, 0.666626
sum-squares-slot, 310, 12, 162, 1, 0, 485, 0.666626
sum-squares-slot, 298, 12, 168, 1, 0, 479, 0.666626
sum-squares-slot, 309, 12, 160, 1, 0, 482, 0.666626
sum-squares-slot, 294, 12, 161, 1, 0, 468, 0.666626
sum-squares-slot, 298, 16, 165, 1, 0, 480, 0.666626
sum-squares-slot, 301, 12, 166, 1, 0, 480, 0.666626
sum-squares-slot, 303, 12, 162, 1, 0, 478, 0.666626
sum-squares-slot, 308, 12, 160, 1, 0, 481, 0.666626
sum-squares-slot, 304, 12, 167, 1, 0, 484, 0.666626
sum-squares-slot, 300, 12, 165, 1, 0, 478, 0.666626
sum-squares-slot, 294, 12, 160, 1, 0, 467, 0.666626
sum-squares-slot, 301, 12, 164, 1, 0, 478, 0.666626
sum-squares-slot, 301, 12, 167, 1, 0, 481, 0.666626
sum-squares-slot, 303, 12, 166, 1, 0, 482, 0.666626
sum-squares-slot, 291, 12, 162, 1, 0, 466, 0.666626
sum-squares-slot, 301, 12, 161, 1, 0, 475, 0.666626
sum-squares-slot, 299, 12, 160, 1, 0, 472, 0.666626
sum-squares-slot, 300, 12, 157, 1, 0, 470, 0.666626
sum-squares-slot, 294, 12, 164, 1, 0, 471, 0.666626
sum-squares-slot, 298, 12, 164, 1, 0, 475, 0.666626
sum-squares-slot, 307, 12, 169, 1, 0, 489, 0.666626
sum-squares-slot, 305, 12, 172, 1, 0, 490, 0.666626
sum-squares-slot, 300, 12, 164, 1, 0, 477, 0.666626
sum-squares-slot, 302, 12, 169, 1, 0, 484, 0.666626
sum-squares-slot, 298, 12, 162, 1, 0, 473, 0.666626
sum-squares-slot, 293, 12, 165, 1, 0, 471, 0.666626
sum-squares-slot, 294, 12, 162, 1, 0, 469, 0.666626
sum-squares-slot, 295, 12, 160, 1, 0, 468, 0.666626
sum-squares-slot, 292, 18, 161, 1, 0, 472, 0.666626
sum-squares-slot, 299, 12, 165, 1, 0, 477, 0.666626
sum-squares-slot, 296, 12, 164, 1, 0, 473, 0.666626
sum-squares-slot, 305, 12, 164, 1, 0, 482, 0.666626
sum-squares-slot, 306, 12, 169, 1, 0, 488, 0.666626
sum-squares-slot, 296, 12, 165, 1, 0, 474, 0.666626
sum-squares-slot, 301, 12, 166, 1, 0, 480, 0.666626
