type, setup, encryption, homomorphic, decryption, plaintext, total, value

n10x8192-slot-inner-4096, 180, 92, 209, 0, 0, 481, 136535
n10x8192-slot-inner-4096, 158, 86, 174, 0, 0, 418, 136535
n10x8192-slot-inner-4096, 136, 86, 172, 0, 0, 394, 136535
n10x8192-slot-inner-4096, 136, 80, 166, 0, 0, 382, 136535
n10x8192-slot-inner-4096, 136, 80, 167, 0, 0, 383, 136535
n10x8192-slot-inner-4096, 133, 81, 167, 0, 0, 381, 136535
n10x8192-slot-inner-4096, 137, 79, 163, 0, 0, 379, 136535
n10x8192-slot-inner-4096, 144, 81, 168, 0, 0, 393, 136535
n10x8192-slot-inner-4096, 142, 85, 173, 0, 0, 400, 136535
n10x8192-slot-inner-4096, 148, 85, 199, 0, 0, 432, 136535
n10x8192-slot-inner-4096, 143, 84, 188, 0, 0, 415, 136535
n10x8192-slot-inner-4096, 149, 84, 164, 0, 0, 397, 136535
n10x8192-slot-inner-4096, 134, 79, 173, 0, 0, 386, 136535
n10x8192-slot-inner-4096, 136, 80, 171, 0, 0, 387, 136535
n10x8192-slot-inner-4096, 142, 80, 174, 0, 0, 396, 136535
n10x8192-slot-inner-4096, 135, 81, 181, 0, 0, 397, 136535
n10x8192-slot-inner-4096, 150, 87, 193, 0, 0, 430, 136535
n10x8192-slot-inner-4096, 156, 89, 192, 0, 0, 437, 136535
n10x8192-slot-inner-4096, 140, 84, 197, 0, 0, 421, 136535
n10x8192-slot-inner-4096, 145, 92, 220, 0, 0, 457, 136535
n10x8192-slot-inner-4096, 160, 96, 196, 0, 0, 452, 136535
n10x8192-slot-inner-4096, 141, 79, 164, 0, 0, 384, 136535
n10x8192-slot-inner-4096, 133, 80, 175, 0, 0, 388, 136535
