type, ringDim, setup, encryption, cMult, AddMany, total_time, value 
n25x8192-coef-inner, 2048, 16, 381, 318, 8, 723, 68
n25x8192-coef-inner, 2048, 16, 387, 327, 8, 738, 68
n25x8192-coef-inner, 2048, 16, 382, 324, 8, 730, 68
n25x8192-coef-inner, 2048, 16, 376, 328, 8, 728, 68
n25x8192-coef-inner, 2048, 18, 390, 327, 9, 744, 68
n25x8192-coef-inner, 2048, 16, 378, 321, 8, 723, 68
n25x8192-coef-inner, 2048, 16, 388, 318, 8, 730, 68
n25x8192-coef-inner, 2048, 16, 386, 323, 8, 733, 68
n25x8192-coef-inner, 2048, 16, 379, 323, 9, 727, 68
n25x8192-coef-inner, 2048, 16, 389, 321, 9, 735, 68
n25x8192-coef-inner, 2048, 20, 387, 337, 8, 752, 68
n25x8192-coef-inner, 2048, 16, 385, 330, 9, 740, 68
n25x8192-coef-inner, 2048, 16, 383, 320, 8, 727, 68
n25x8192-coef-inner, 2048, 16, 377, 319, 9, 721, 68
n25x8192-coef-inner, 2048, 16, 384, 317, 9, 726, 68
n25x8192-coef-inner, 2048, 16, 382, 322, 9, 729, 68
n25x8192-coef-inner, 2048, 16, 384, 323, 8, 731, 68
n25x8192-coef-inner, 2048, 18, 391, 322, 8, 739, 68
n25x8192-coef-inner, 2048, 17, 379, 331, 8, 735, 68
n25x8192-coef-inner, 2048, 22, 380, 340, 9, 751, 68
n25x8192-coef-inner, 2048, 24, 379, 322, 8, 733, 68
n25x8192-coef-inner, 2048, 20, 385, 334, 9, 748, 68
n25x8192-coef-inner, 2048, 16, 388, 319, 9, 732, 68
n25x8192-coef-inner, 2048, 16, 381, 320, 9, 726, 68
n25x8192-coef-inner, 2048, 16, 377, 317, 9, 719, 68
n25x8192-coef-inner, 2048, 18, 392, 332, 9, 751, 68
n25x8192-coef-inner, 2048, 16, 382, 321, 9, 728, 68
n25x8192-coef-inner, 2048, 17, 378, 320, 15, 730, 68
n25x8192-coef-inner, 2048, 17, 427, 363, 13, 820, 68
n25x8192-coef-inner, 2048, 26, 432, 329, 9, 796, 68
n25x8192-coef-inner, 2048, 16, 382, 321, 9, 728, 68
n25x8192-coef-inner, 2048, 16, 383, 320, 9, 728, 68
n25x8192-coef-inner, 2048, 16, 412, 337, 9, 774, 68
n25x8192-coef-inner, 2048, 16, 380, 318, 9, 723, 68
n25x8192-coef-inner, 2048, 16, 381, 319, 9, 725, 68
n25x8192-coef-inner, 2048, 20, 382, 316, 9, 727, 68
n25x8192-coef-inner, 2048, 19, 384, 333, 9, 745, 68
n25x8192-coef-inner, 2048, 19, 376, 331, 9, 735, 68
n25x8192-coef-inner, 2048, 16, 377, 318, 9, 720, 68
n25x8192-coef-inner, 2048, 17, 379, 318, 9, 723, 68
n25x8192-coef-inner, 2048, 22, 382, 330, 9, 743, 68
n25x8192-coef-inner, 2048, 16, 383, 326, 9, 734, 68
n25x8192-coef-inner, 2048, 16, 377, 318, 8, 719, 68
n25x8192-coef-inner, 2048, 16, 382, 320, 8, 726, 68
n50x8192-coef-inner, 2048, 16, 830, 673, 19, 1538, 134
n50x8192-coef-inner, 2048, 16, 763, 642, 23, 1444, 134
n50x8192-coef-inner, 2048, 16, 778, 650, 18, 1462, 134
n50x8192-coef-inner, 2048, 18, 758, 650, 18, 1444, 134
n50x8192-coef-inner, 2048, 16, 758, 651, 18, 1443, 134
n50x8192-coef-inner, 2048, 16, 766, 646, 19, 1447, 134
n50x8192-coef-inner, 2048, 16, 768, 647, 18, 1449, 134
n50x8192-coef-inner, 2048, 16, 762, 645, 19, 1442, 134
n50x8192-coef-inner, 2048, 21, 766, 659, 19, 1465, 134
n50x8192-coef-inner, 2048, 16, 760, 647, 18, 1441, 134
n50x8192-coef-inner, 2048, 16, 764, 649, 18, 1447, 134
n50x8192-coef-inner, 2048, 16, 768, 646, 19, 1449, 134
n50x8192-coef-inner, 2048, 16, 775, 653, 19, 1463, 134
n50x8192-coef-inner, 2048, 16, 785, 654, 19, 1474, 134
n50x8192-coef-inner, 2048, 16, 771, 646, 19, 1452, 134
n50x8192-coef-inner, 2048, 16, 776, 652, 19, 1463, 134
n50x8192-coef-inner, 2048, 21, 773, 676, 19, 1489, 134
n50x8192-coef-inner, 2048, 16, 766, 647, 19, 1448, 134
n50x8192-coef-inner, 2048, 16, 773, 655, 19, 1463, 134
n50x8192-coef-inner, 2048, 16, 766, 646, 18, 1446, 134
n50x8192-coef-inner, 2048, 20, 772, 647, 19, 1458, 134
n50x8192-coef-inner, 2048, 16, 763, 640, 18, 1437, 134
n50x8192-coef-inner, 2048, 16, 781, 649, 28, 1474, 134
n50x8192-coef-inner, 2048, 177, 969, 655, 18, 1819, 134
n50x8192-coef-inner, 2048, 17, 782, 645, 18, 1462, 134
n50x8192-coef-inner, 2048, 16, 773, 649, 18, 1456, 134
n50x8192-coef-inner, 2048, 20, 773, 655, 19, 1467, 134
n50x8192-coef-inner, 2048, 16, 768, 649, 18, 1451, 134
n50x8192-coef-inner, 2048, 16, 762, 652, 19, 1449, 134
n50x8192-coef-inner, 2048, 16, 766, 643, 19, 1444, 134
n50x8192-coef-inner, 2048, 16, 779, 646, 18, 1459, 134
n50x8192-coef-inner, 2048, 16, 771, 697, 24, 1508, 134
n50x8192-coef-inner, 2048, 16, 771, 671, 19, 1477, 134
n50x8192-coef-inner, 2048, 16, 856, 713, 18, 1603, 134
n50x8192-coef-inner, 2048, 16, 759, 639, 18, 1432, 134
